宝塔,浮图
腐败,腐化
追风逐电,风驰电掣
领悟,融会
魁首,俊
夫唱妇随,比翼双飞
扼守,据守
操心,费心
菲仪,菲敬
胡匪,马贼
对症下药,有的放矢
饮酒,喝酒
脚本,剧本
分身,两全
葱茏,葱郁
坐井观天,管中窥豹
望见,瞥见
反省,检查
损害,伤害
主张,主意
商店,市肆
怪僻,古怪
旗帜,旗号
变幻,幻化
会见,会面
方兴未艾,方兴日盛
发明,发现
闾里,桑梓同乡
倒映,反照
合格,及格
唾面自干,逆来顺受
细致,详细
高超,崇高高贵
气势,气概
下属,部属
浮滑,轻薄
郁闷,愁闷
悲观,颓废
青出于蓝,后来居上
讯问,询问
中断,中止
开辟,启示
宾朋盈门,宾客盈门
流行,风行
讨论,计议
屈驾,劳驾
天昏地暗,暗无天日
艨艟,兵舰
向来,历来
掠过,擦过
酒席,酒菜
千载一时,千载难逢
服从,听从
虚假,子虚
西岳,华山
天南地北,山南海北
正犯,主犯
情形,景象
年景,年成
悲痛,沉痛
天助,天佑
悬想,揣想
回顾,回首
大小,巨细
疲惫,疲顿
攻陷,攻下
天南地北,海阔天空
集合,荟萃
大胆,勇敢
回转,反转展转
变化多端,变幻莫测
才华,才干
入口,进口
哭泣,呜咽
天真,无邪
派别,家数
流传,传播
尊长,长辈
过程,进程
排挤,排击
快快当当,急急忙忙
各执己见,互不相让
悬梁,吊颈
和好,亲睦
步辇儿,步碾儿
风行一时,不胫而走
连珠箭,连珠炮
度量,器度
碰运气,试试看
叩谢,伸谢
美计,良图
怨气冲天,牢骚满腹
果腹,充饥
遗漏,漏掉
拉拢,羁糜
盘盘大才,过人才略
私下,暗里
重利,厚利
败类,莠民
列队,排队
厥后,后来
披星带月,披霜冒露
适得其反,拔苗助长
财宝,玉帛
增添,增加
惊惶失措,猝不及防
讨情,说情
连续,延续
踏实,结壮
起首,首先
光顾,帮衬
口号,标语
劣行,败行
寒风,北风
公然,果然
阐明,说明
分别,离别
一毛不拔,爱财如命
光彩,光华
转达,传达
白手起家,自食其力
敏捷,火速
老实,厚道
歧路,岔路
抢劫,掳掠
把臂而谈,促膝谈心
劫数,劫运
爱惜,珍惜
发愤,勤苦
张皇,慌张
让步,妥协
他山之石,参考之资
话不投机,交浅言深
傲卒多败,骄兵必败
归还,清偿
羊肠小道,曲折小路
尊敬,尊重
遍体鳞伤,皮开肉绽
引经据典,旁征博引
徐徐,渐渐
连忙,赶紧
独占,独有
揭隐私,揭疮疤
内人,内助
来源,来历
曲折,弯曲勉强
界限,边界
是非黑白,青红皁白
一叶知秋,尝鼎一
绚烂,残暴
侧重,偏重
渗透,渗入渗出
捐躯,就义
依照,遵照
骑兵,马队
懒散,懒惰
特别卖力,出力异常
气,气呼呼
漂亮,时兴
篡改,窜改
误会,误解
竹篱,篱笆
人地相宜,地利人和
公役,公差
商讨,商榷
冒犯,冲克
罅漏,缺漏
厮闹,胡闹
广博,宏大辽阔
重视,正视
淳厚,浑厚
上网,上彀
准确,正确
沉寂,沉静
赶快,赶忙
同心,齐心
卓识,高见
尖酸刻薄,繁言吝啬
佩服,服气
宠信,宠任
警语,警句
费神,劳神
好像,似乎
传闻,传说风闻
美丽,鲜艳
寒不择衣,饥不择食
立足,存身
落网,就逮
添枝加叶,节外生枝
宏大,远大
把戏,幻术
丛林,森林
散播,散布
熏陶,陶冶
浓云,彤云
夙世冤家,前世怨仇
摆脱,脱节
攻其不备,趁火打劫
积重难返,积习难改
胡思乱想,痴心妄想
内人,内子
闻达,贵显
朴实,俭省
再见,再会
浇愁,解愁
凝听,聆听
光滑油滑,圆滑
压倒,压服
水深火热,水火倒悬
令婿,令坦
举行,举办
搜索,搜刮
豹隐,遁世
细长,修长
枯燥,死板
暗笑,窃笑
注视,注目
目中无人,傍若无人
险恶,邪恶
辣手,棘手
富丽,华丽
激愤,激怒
征伐,挞伐
自我介绍,毛遂自荐
旅舍,客店
讨饶,求饶
个别,个体
掩蔽,遮掩
消瘦,瘦削
归程,归途
弁冕,礼帽
大众,公共
胡里胡涂,浑浑噩噩
衡量,权衡
美丽,瑰丽
洋火,火柴
目染耳濡,耳染目濡
完备,完整
善于,擅长
急遽,急忙
见风使舵,见机行事
允从,依从
去处,行止
感激涕零,感激不尽
发号令,发号施令
赔本,蚀本
废弃,烧毁
沉痾,沉
几多,若干好多
粉墨登场,袍笏登场
此中,其中
荒野,荒原
回击,回手
广大,恢弘
挑衅,搬弄
含沙射影,含血喷人
从容,自在
鹰视,虎睨
天生,生成
浓厚,浓重
生坑,活埋
收条,收据
芒鞋,草鞋
萎靡不振,精神萎顿
反应,反响
下贱,轻贱
切断,割断
主座,长官
调停,调解排遣
宣扬,宣传
呆板,死板
各有千秋,各有所长
折扣,扣头
讲授,教学
清静,僻静
面目,面貌
局促,窄小
独特,怪异
自命不凡,孤芳自赏
庄重,稳重
老练,老到
谈判,交涉
着着失败,节节失利
不一而足,所在多有
鬼蜮伎俩,卑劣手段
遮盖,粉饰
会心,会意
将近,快要
思路,思绪
剖判,判辨
柔柔,轻柔
流派,派别
和蔼,和善
好人,大好人
一样平常,日常
合股,合资
本领,手腕
限定,限制
才思,才情
灼热,炽热
百孔千疮,赤地千里
嘈吵喧斗,哗闹
借单,借字
狡徒,滑头
陋屋,蓬门
朱紫,贵人
明净,清白
捕获,捕捉
特色,特点
解甲归田,退役还乡
配合,合营
证明,证实
憬悟,省悟
完善,改善
兵戈,干戈
包涵,见谅
自卑过甚,自暴自弃
惨恻,惨怆
隐讳,忌讳
病愈,康复
试验,实验
惊讶,惊奇
游戏人间,逢场作戏
繁重,沉重
丈量,测量
不足为奇,层见迭出
增强,加强
来源根基,本原
纯正,纯粹
免罪,赦罪
添油加醋,添枝接叶
繁荣昌盛,繁荣富强
雁足传书,鱼雁不绝
色泽,光彩
子息,后世昆裔
模子,模型
哄传,盛传
金衣玉食,锦衣玉食
业绩,事迹
可有可无,无关紧要
了如指掌,洞若观火
底稿,草稿
解散,闭幕
堕落,出错
感到,感应
缺少,欠缺
简便,简捷
俯拾地芥,如拾草芥
碰鼻,碰钉子
求全谴责,斥责
吩咐,叮咛
清楚,清晰
丧家之犬,漏网之鱼
派司,牌照
检查,查抄
拆伙,散伙
子弟,后辈
坚持不懈,坚韧不拔
感受,感触感染
忏悔,懊悔
反击,还击
倒是,却是
和洽,和好
扶助,搀扶帮助
机警,机灵
如有,若有
多数,多半
转败为功,化险为夷
张罗,筹措
贫苦,贫穷
数目,数量
忧愁,忧闷
明白,明了
留意,留心
一向,一贯
点缀,装点
光顾,赐顾
旌旗,旗子
风波,风浪
痛饮,狂饮
吸烟,抽烟
蜩螗沸羹,虫鸣水沸
毗邻,邻接
骇人听闻,危言耸听
吸取,汲取
批准,同意
隐恶扬善,遏恶扬善
忘记,遗忘
散伙,分伙
取代,代替
劳神,费心
缄默,沉默
刊误表,勘误表
民间文学,通俗文学
样子容貌,模样
撒手,放手
亏损,吃亏
排山倒海,翻天覆地
着名,出名
款式,技俩
无赖,恶棍
修缮,补葺
十拿九稳,万无一失
綦重,极重
忐忑不安,七上八下
隐隐,隐约
举案齐眉,相敬如宾
除旧更新,改弦易辙
方式,方法
果然,公然
参加,列入
极少,少少
存放,寄存
天高气爽,秋高气爽
狂言,大言
罢了,而已
定时,准时
轻佻,轻浮
离异,仳离
天赋,禀赋
简便,轻便
力衰,力弱
公告,通知布告
失业,赋闲
摆架子,搭架子
方丈和尚,当家和尚
可靠,靠得住
扯破,撕裂
妙手,好手
冲动,激动
服从,坚守
谋划,策划
少用,罕用
精湛,精深
胰子,肥皂
半数,对折
年头,年初
宏伟,雄伟
厮混,胡混
题目,标题问题
协议同意,和议
断港绝潢,走头无路
庸人自扰,杞人忧天
不识时务,吃米不知米价
告急,紧急
晚世,近世
鬼域,黄泉
投降,降服佩服
起始,肇端
哭笑不得,啼笑皆非
答应,准许
黝黑,乌黑
周密,严密
活气,活力
领土,国土
轻而易举,垂手可得
死去活来,死而复活
病愈,痊可
平庸,平淡
奸巧,巧诈
国家荣誉,邦家之光
调解,调整
洁白,皎洁
告诫,申饬
每时每刻,时时刻刻
终究,毕竟
缱绻,绸缪
自大,自豪
自告奋勇,挺身而出
好菜,佳肴
戒备,防备
厘革,变革
名不副实,有名无实
效率,效力
壮年,丁壮
赔本,亏本
无可非议,情有可原
左右开弓,双管齐下
遇人不淑,所嫁非人
实验,试验
捷足先登,及锋而试
精彩,出色
祷告,祈祷
冷静,镇定
盘根错节,千头万绪
诙谐百出,滑稽突梯
演化,演变
到场,参预
毛病,漏洞
喝茶,品茗
加强,增强
迅速,敏捷
表现,表示
资料,材料
翰札,简牍
不惜,不吝
衡宇,房屋
摰友,好友
干预干与,干涉
争辩,辩论
版图,邦畿
分崩离析,四分五裂
伴随,随同
盘问,盘查
光荣,光彩
至高无上,登峰造极
确切不移,千真万确
机密,秘要
鸡犬不留,斩草除根
神往,向往
钟灵毓秀,人杰地灵
培养,培育种植提拔
俗不可耐,鄙俗不堪
乐意,愿意
明器,冥具
貌同实异,似是而非
闪烁其词,深加隐讳
贻害不浅,害人不浅
缺点,瑕玷
傲雪欺霜,坚贞不屈
欢腾,欢跃
终生,毕生
轻渎,侮慢
痴肥,臃肿
壮盛,鼎盛
木屋,板屋
良庖,名厨
推波助澜,火上加油
委宛,宛转
犯人,囚犯
一箭双鵰,两全其美
启示,启发
灾民,流民
劝说,劝告
六神无主,丧魂失魄
及锋而试,捷足先得
久远,长远
随手,顺手
年青,年轻
毛姜,慌脚鸡
不搭嘴,不搭腔
故宅,故园
书函,书札
见教,赐教
恐慌,发急
顺俗,随俗
自负,自尊
查抄,搜查
普度众生,普渡众生
风行,盛行
卑鄙,庸俗
父母官,地方官
冒充,假意
斲丧,消耗
公众,公家
爱慕,倾慕
贫民,穷人
韵事,佳话
努力,尽力
奇迹,事业
旅馆,旅店
实用,适用
渊博,广博
美术大师,丹青妙手
琐屑零星,鸡零狗碎
声名,申明
稽核,考核
狗仗人势,驴蒙虎皮
经心,精心
释教,佛教
力量,力气
桂花,木樨
梦熊,兰梦
揣测,忖测
盘货,盘点
动乱,骚乱
兵凶战危,佳兵不祥
箴规,针砭
引导,指导
安身立命,安居乐业
连续,接连
同砚,同学
廉洁,廉明
特别,稀奇
鄙见,管见
坎阱,罗网
缘由,启事
短缺,欠缺
低微,卑微
晚景,暮景暮年
嘹亮,宏亮
邦本,国脉
苦难,魔难
感德,戴德
强健,矫健
谄谀,谄媚
起飞,腾飞
浇薄,浇漓
与你何关,干卿底事
底细,秘闻
雄心勃勃,雄心壮志
大略,简略
不安本分,不安分
迁就,姑息
同行,同业
都城,京城
以为,认为
购买,采办
拖延,稽迟
本原,来源根基
名誉,信用
穷山垩水,穷乡僻壤
富强,强盛
笨蛋,笨伯
性子,性质
淘汰,裁汰
东瀛,东洋
最近,比来
改革,改变
褴褛,破烂
一连,连续
现在,如今
寝陋,貌寝
自觉,自发
前线,前列
商榷,商议
居心,用心
讨情,求情
遗嘱,遗言
使气,负气
挖苦,讥讽
完工,落成
容易,轻易
逮捕,拘系
货物,货色
求学,肄业
裁缝,成衣
精密,严密
恐吓,威吓
检验,检修
端庄,肃静严厉
启发,开导
灾害,灾祸
致意,请安
明白,理解理睬
反应,回响反映
切合,符合
清凉,清冷
不能,不克不及
描画,刻画
排阵,布阵
把稳,留心
查抄,检查
旗号,灯号
留心,留意
宏大,弘大
歌颂,颂扬
渎职,溺职
络绎不绝,川流不息
不知恩义,过河抽板
浓郁,浓烈
避忌,避讳
结草衔环,感恩图报
当地,本地
必须,必需
收缩,缩短
安慰,抚慰
同舟共济,志同道合
告终,了结
抽咽,抽泣
切身痛苦,切肤之痛
拜望,拜谒
闭门不出,韬光养晦
揶揄,嘲弄
杜门不出,闭门不出
父（母）丧,丁忧
信赖,信任
灵巧,乖巧
收效,见效
代庖,代劳
奉劝,劝告
婉转,悠扬
理想,抱负
慌慌张张,快快当当
歹徒横行,恶人得势
饮马投钱,贪污舞弊
虎帐,兵营
勉力,戮力
监视,监督
猛进,大进
冷炙,残羹
绝技,特技
死谏,尸谏
诘责,质问
一无所知,一窍不通
规则,法则
浮皮潦草,浮皮蹭痒
曩昔,畴昔
附和,赞同
立杆见影,吹糠见米
舶来品,水货
羞人答答,娇羞答答
凋零,雕残
滋润,润泽津润
比量齐观,同等看待
悯恻,哀怜
向导,领导
消灭,祛除
显露表露,流露透露
帮凶,爪牙
开始,起头
诙谐,滑稽
逊位,退位
别开生面,独具匠心
肇事,闯祸
诞生,降生
答案,谜底
半斤八两,平分秋色
警卫,保镳
坚辞,峻拒
词藻,词采
提醒,提示
两端,两头
来往,交游
何以,何故
次货,劣货
回心转意,改变主张
监禁,扣留
切题,贴题
执法,法律
剧烈,猛烈
吹嘘,揄扬
骄子,宠儿
波浪,海浪
亲事,婚事
变成,酿成
省检,省察
微小,细小
堂而皇之,冠冕堂皇
出神入化,炉火纯青
不言而喻,不问可知
解释,说明
蓦地,顿然
形单影只,孑然一身
昼夜,日夜
永世,永久
厚遇,厚待
服从,恪守
谋生,餬口
干劲,劲头
算无遗策,计划精巧
直立,竖立
妖怪,魔鬼
呼卢喝雉,呼么喝六
倾盖论交,车笠之盟
切磋琢磨,互相研究
帮助,赞助
阿谀奉承,攀龙趋凤
负担,累赘
官司,讼事
价值千金,价值连城
无妄之灾,池鱼之殃
彼苍,上苍
半斤八两,各有千秋
黑白,口角
精华,精髓
含沙射影,暗箭伤人
牢狱,监狱
室如悬磬,家徒壁立
老大,老迈
片刻,半晌
好久,很久
手足重茧,手足胼胝
平安,安然
抽空,抽暇
投靠,投奔
凶狠,凶恶
便是,就是
历历如绘,绘声绘影
教诲,教育
开怀,舒怀
申诉,申述
托辞,遁辞
暴躁,浮躁
丹诚相许,沥胆披肝
眼花撩乱,目迷五色
函牍,尺简
钓鱼,垂钓
呆子,白痴
羞辱,赤诚
通常,平日
左右,阁下
大作,鸿文
缄口,闭口
急躁,浮躁
盗贼,响马
灌音,录音
岂非,难道
不分皁白,不顾曲直
望尘莫及,瞠乎其后
春情,春心
摧残浪费蹂躏,糟蹋
向阳,朝阳
难受,难熬难过
天佑,天助
分家,分炊
分泌,排泄
白净,白皙
转瞬之间,弹指之间
标准,尺度
灵巧,灵便
日中则昃,盛极必衰
拉拢,收买
发动,策动
防地,防线
秘密,奥秘
出面,出头具名
同伴,错误
贪杯,贪酒
哺育,哺养
目无法纪,目无王法
环绕,围绕
物资,物质
部属,属下
弯曲,曲折
省墓,扫墓
刻鹄类鹜,画虎成犬
胆小,怯懦
偷取,盗取
密切,亲近
孕妇,妊妇
己饥己溺,爱人如己
起因,原由
改变主张,回心转意
踪影,踪迹
形式,情势
痛苦悲伤,疼痛
归隐志士,伏枥老骥
反宾为主,反客为主
廉明,廉正
雕虫小技,虫篆之技
恩典,膏泽
安定,平定
兴奋,高兴
乱撞,乱闯
凌驾,超出
厕纸,草纸
通商,互市
关闭,封闭
担忧,担心
说情,讨情
少年老成,少年事重
承前启后,继往开来
谈判,商洽
调集,召集
守财奴,吝啬鬼
集合,纠合
夏历,农历
书函,书简
断送,捐躯
积渐,浸渐
规矩,礼貌
草泽,草野
指责,诘问诘责
老年末年,暮年
平易近人,和蔼可掬
稽察,稽查查察
阒寂无声,鸦雀无声
东风,春风
体例,编制
见微知着,尝鼎一脔
离开,分开
贫民,穷户
营私舞弊,假公济私
孝服,凶服
卑微,低微
目空一切,才高气傲
勾通,勾结
合作无懈,紧密合作
白手,空手
乱七八糟,东倒西歪
赢利,赚钱
派头,气派
捧头,抱头
负心,亏心
纳贡,进贡
满堂,合座
回收,收受接管
猖獗,猖狂
安枕无忧,高枕无忧
雄伟,宏伟
同窗夜语,剪烛西窗
玄妙,奥妙
河滨,河干
抑制,克制
贤人,圣人
理屈词穷,目瞪口呆
人间,人世
梦境,黑甜乡
法式,法度
休咎,福祸
现实,实际
讲错,失口
疾驰,奔驰
驱逐,驱赶
灵活,矫捷
宣扬,张扬
太始,太初
公证人,评判人
薄暮,傍晚
风姿潇洒,风度翩翩
擅自,私自
佳偶天成,嘉偶天成
历年,积年
水滴石穿,磨铁成针
探亲,投亲
幽禁,软禁
随波逐流,同流合污
费钱,花钱
诱导,引诱
无可非议,未可厚非
白痴,呆子
歌颂,传颂
贫乏,穷困
堆栈,货仓旅馆
脆弱,软弱
讽刺,取笑
断送,就义
交接,交代
对比,比较
探讨,商量
含义,寄义
天年,天算
濮上之音,靡靡之音
年老,年迈
怎知,安知
风静,风止
屏蔽,屏障
清闲,安闲
连任,蝉联
直捣黄龙,犁庭扫穴
胆大妄为,轻举妄动
和睦,和气
救济,救援
评判员,裁判员
乱花,乱用
隐藏,隐蔽
相继,接踵
高兴,愉快
送命,送死
烂醉陶醉,大醉
调兵遣将,兴师动众
衣冠禽兽,沐猴而冠
兴兵,发兵
亘古未有,空前未有
资助,赞助
吝啬,鄙吝
作声,出声
村塾,村学
杞人忧天,庸人自扰
凶恶,凶暴
管理,治理
提高,进步
各展其长,各尽所能
会意,会心
妙手回春,药到病除
主旨,大旨
大公至正,堂堂正正
夸诞,浮夸
发难,举事
椭圆形,卵形
局势,事势时事
机智,机灵
随便,随意
本心,良心
根基,根底
弓套,弓鞬
贪图,妄想
权要,官僚
以后,今后
吓唬,恐吓
权威,威望
兴盛,昌盛
他日,未来畴昔
尝鼎一脔,见微知着
鄙俚,卑鄙
喧嚣,喧哗
聪明一世,胡涂一时
捋臂张拳,擦掌磨拳
沙滩,沙岸
依据,根据
抛摆,抛撇
息兵,停战
跌倒,颠仆
干系,相干
发表,颁发
降生,出世
推测,推想
打狗不看主人面,罔顾情面
怫然作色,勃然变色
精益求精,不断改进
帮忙,协助
方法,方式
优美,幽美
侵犯,侵占
恨之入骨,恨入骨髓
暮气沉沉,灰心丧气
各自进行,各行其是
变化多端,瞬息万变
前线,前哨
珍奇,珍异
致谢,申谢
感觉,感受
固然,虽然
未便,不便
改正,更正
倾轧,排挤
积聚,蕴蓄
调解,调剂
轶群,超群
市井,街市商人
畏惧,怕惧
密查,刺探
足数,够数
不然,否则
好汉,铁汉
孤注一掷,背注一掷
打击,攻击
陈述,陈说
通同作恶,朋比为奸
叱责,呼叱
辞书,词典
实质,本质
不约而合,不谋而合
清秀,秀气
夸大其词,过甚其辞
发抖,颤抖
特别,迥殊
督工,监工
悔过,悔悟
风马牛不相及,风马不接
冒失鬼,鲁莽汉
同等看待,比量齐观
扞格难入,格格不入
述说,陈述
照映,辉映
屠杀,屠戮
极尽描摹,淋漓尽致
熟习,熟谙
明朗,清明
犹豫,踌躇
生杀与夺,宠辱祸福
心痛,肉痛
精确,切确
赏给,赐给
割肉医疮,画饼充饥
制定,拟定
拒绝,谢绝
酷爱,酷好
退却,撤退
旁观,观察迟疑
平分,等分
俊秀,英俊
驱驰,奔走
瞌睡,打盹
打赌,赌博
负薪救火,扬汤止沸
到临,莅临
权力,权利
管理,经管
发抖,股栗
格于环境,时势所迫
失路,迷途
词讼,刀笔
高大,嵬峨
黄口孺子,乳臭未干
欣赏,浏览
胆怯,恐惧
显明,明显
颤抖,哆嗦
承受,蒙受
平展,平坦
隔壁,近邻
斑纹,花纹
关心,关怀
假名,化名
躲藏,潜藏
审察,端相
友爱,交情
浪费,虚耗
花容月貌,闭月羞花
阅读,浏览
抵抗,抵制
暗码,密码
照耀,晖映
活动,勾当
内心,心里
一意孤行,独行其是
表现,显露
任性,率性
支解,分割
探索,摸索
滂湃,倾盆
屹然,耸然
托足,寄迹
无法动弹,寸步难移
纷至沓来,接连不断
出错,犯错
主要,重要
谎话,假话
飘荡,飘零
挺立,直立
不苟言笑,一本正经
马首是瞻,极力模仿
大呼,大喊
氛围,气氛
会面,会晤
全心全意,鞠躬尽瘁
殒命,死亡
诞生,出生
克服,降服
拙劣,低劣
大师,巨匠
开始,入手下手
包围,笼罩
鞭笞,鞭挞
